precinct,office,candidate,votes
1,CITY COUNCIL PRESIDENT,Mark Sideris,168
1,CITY COUNCIL PRESIDENT,Write-in,2
1,SCHOOL COMMITTEE,Amy B Donohue,116
1,SCHOOL COMMITTEE,Guido Guidotti,77
1,SCHOOL COMMITTEE,John H Portz,85
1,SCHOOL COMMITTEE,Lily R Rayman-Read,82
1,SCHOOL COMMITTEE,Michael K Shepard,46
1,SCHOOL COMMITTEE,Elizabeth K Yusem,84
1,SCHOOL COMMITTEE,Write-in,0
1,COUNCILOR-AT-LARGE,Anthony J Donato,136
1,COUNCILOR-AT-LARGE,David Michael Stokes,57
1,COUNCILOR-AT-LARGE,Michelle Cokonoughi,67
1,COUNCILOR-AT-LARGE,Michael F Dattoli,124
1,COUNCILOR-AT-LARGE,Anthony Palomba,114
1,COUNCILOR-AT-LARGE,Caroline J Bays,125
1,COUNCILOR-AT-LARGE,Write-in,0
1,SCHOOL COMMITTEE 2-YEAR TERM,Lindsay Jean Mosca,149
1,SCHOOL COMMITTEE 2-YEAR TERM,Write-in,1
1,DISTRICT A COUNCILOR,Angeline B Kounelis,171
1,DISTRICT A COUNCILOR,Write-in,1
1,LIBRARY TRUSTEES,Leanne Hammonds,122
1,LIBRARY TRUSTEES,Daniel E Pritchard,88
1,LIBRARY TRUSTEES,Michael J Hanlon Jr,116
1,LIBRARY TRUSTEES,David R Breakstone,69
1,LIBRARY TRUSTEES,Write-in,0
2,CITY COUNCIL PRESIDENT,Mark Sideris,234
2,CITY COUNCIL PRESIDENT,Write-in,3
2,SCHOOL COMMITTEE,Amy B Donohue,168
2,SCHOOL COMMITTEE,Guido Guidotti,105
2,SCHOOL COMMITTEE,John H Portz,128
2,SCHOOL COMMITTEE,Lily R Rayman-Read,124
2,SCHOOL COMMITTEE,Michael K Shepard,82
2,SCHOOL COMMITTEE,Elizabeth K Yusem,126
2,SCHOOL COMMITTEE,Write-in,3
2,COUNCILOR-AT-LARGE,Anthony J Donato,189
2,COUNCILOR-AT-LARGE,David Michael Stokes,89
2,COUNCILOR-AT-LARGE,Michelle Cokonoughi,93
2,COUNCILOR-AT-LARGE,Michael F Dattoli,169
2,COUNCILOR-AT-LARGE,Anthony Palomba,189
2,COUNCILOR-AT-LARGE,Caroline J Bays,193
2,COUNCILOR-AT-LARGE,Write-in,8
2,SCHOOL COMMITTEE 2-YEAR TERM,Lindsay Jean Mosca,199
2,SCHOOL COMMITTEE 2-YEAR TERM,Write-in,4
2,DISTRICT A COUNCILOR,Angeline B Kounelis,220
2,DISTRICT A COUNCILOR,Write-in,6
2,LIBRARY TRUSTEES,Leanne Hammonds,165
2,LIBRARY TRUSTEES,Daniel E Pritchard,146
2,LIBRARY TRUSTEES,Michael J Hanlon Jr,150
2,LIBRARY TRUSTEES,David R Breakstone,101
2,LIBRARY TRUSTEES,Write-in,3
3,CITY COUNCIL PRESIDENT,Mark Sideris,282
3,CITY COUNCIL PRESIDENT,Write-in,2
3,SCHOOL COMMITTEE,Amy B Donohue,169
3,SCHOOL COMMITTEE,Guido Guidotti,124
3,SCHOOL COMMITTEE,John H Portz,179
3,SCHOOL COMMITTEE,Lily R Rayman-Read,122
3,SCHOOL COMMITTEE,Michael K Shepard,64
3,SCHOOL COMMITTEE,Elizabeth K Yusem,167
3,SCHOOL COMMITTEE,Write-in,2
3,COUNCILOR-AT-LARGE,Anthony J Donato,225
3,COUNCILOR-AT-LARGE,David Michael Stokes,96
3,COUNCILOR-AT-LARGE,Michelle Cokonoughi,99
3,COUNCILOR-AT-LARGE,Michael F Dattoli,173
3,COUNCILOR-AT-LARGE,Anthony Palomba,241
3,COUNCILOR-AT-LARGE,Caroline J Bays,235
3,COUNCILOR-AT-LARGE,Write-in,2
3,SCHOOL COMMITTEE 2-YEAR TERM,Lindsay Jean Mosca,240
3,SCHOOL COMMITTEE 2-YEAR TERM,Write-in,1
3,DISTRICT A COUNCILOR,Angeline B Kounelis,268
3,DISTRICT A COUNCILOR,Write-in,2
3,LIBRARY TRUSTEES,Leanne Hammonds,217
3,LIBRARY TRUSTEES,Daniel E Pritchard,202
3,LIBRARY TRUSTEES,Michael J Hanlon Jr,151
3,LIBRARY TRUSTEES,David R Breakstone,125
3,LIBRARY TRUSTEES,Write-in,4
4,CITY COUNCIL PRESIDENT,Mark Sideris,395
4,CITY COUNCIL PRESIDENT,Write-in,1
4,SCHOOL COMMITTEE,Amy B Donohue,271
4,SCHOOL COMMITTEE,Guido Guidotti,166
4,SCHOOL COMMITTEE,John H Portz,306
4,SCHOOL COMMITTEE,Lily R Rayman-Read,215
4,SCHOOL COMMITTEE,Michael K Shepard,81
4,SCHOOL COMMITTEE,Elizabeth K Yusem,229
4,SCHOOL COMMITTEE,Write-in,0
4,COUNCILOR-AT-LARGE,Anthony J Donato,341
4,COUNCILOR-AT-LARGE,David Michael Stokes,142
4,COUNCILOR-AT-LARGE,Michelle Cokonoughi,88
4,COUNCILOR-AT-LARGE,Michael F Dattoli,254
4,COUNCILOR-AT-LARGE,Anthony Palomba,355
4,COUNCILOR-AT-LARGE,Caroline J Bays,367
4,COUNCILOR-AT-LARGE,Write-in,2
4,SCHOOL COMMITTEE 2-YEAR TERM,Lindsay Jean Mosca,323
4,SCHOOL COMMITTEE 2-YEAR TERM,Write-in,2
4,DISTRICT B COUNCILOR,Lisa J Feltner,372
4,DISTRICT B COUNCILOR,Write-in,5
4,LIBRARY TRUSTEES,Leanne Hammonds,274
4,LIBRARY TRUSTEES,Daniel E Pritchard,226
4,LIBRARY TRUSTEES,Michael J Hanlon Jr,196
4,LIBRARY TRUSTEES,David R Breakstone,259
4,LIBRARY TRUSTEES,Write-in,7
5,CITY COUNCIL PRESIDENT,Mark Sideris,307
5,CITY COUNCIL PRESIDENT,Write-in,4
5,SCHOOL COMMITTEE,Amy B Donohue,180
5,SCHOOL COMMITTEE,Guido Guidotti,136
5,SCHOOL COMMITTEE,John H Portz,189
5,SCHOOL COMMITTEE,Lily R Rayman-Read,146
5,SCHOOL COMMITTEE,Michael K Shepard,97
5,SCHOOL COMMITTEE,Elizabeth K Yusem,170
5,SCHOOL COMMITTEE,Write-in,0
5,COUNCILOR-AT-LARGE,Anthony J Donato,211
5,COUNCILOR-AT-LARGE,David Michael Stokes,111
5,COUNCILOR-AT-LARGE,Michelle Cokonoughi,120
5,COUNCILOR-AT-LARGE,Michael F Dattoli,186
5,COUNCILOR-AT-LARGE,Anthony Palomba,261
5,COUNCILOR-AT-LARGE,Caroline J Bays,249
5,COUNCILOR-AT-LARGE,Write-in,2
5,SCHOOL COMMITTEE 2-YEAR TERM,Lindsay Jean Mosca,227
5,SCHOOL COMMITTEE 2-YEAR TERM,Write-in,2
5,DISTRICT B COUNCILOR,Lisa J Feltner,309
5,DISTRICT B COUNCILOR,Write-in,7
5,LIBRARY TRUSTEES,Leanne Hammonds,207
5,LIBRARY TRUSTEES,Daniel E Pritchard,182
5,LIBRARY TRUSTEES,Michael J Hanlon Jr,163
5,LIBRARY TRUSTEES,David R Breakstone,176
5,LIBRARY TRUSTEES,Write-in,2
6,CITY COUNCIL PRESIDENT,Mark Sideris,240
6,CITY COUNCIL PRESIDENT,Write-in,8
6,SCHOOL COMMITTEE,Amy B Donohue,179
6,SCHOOL COMMITTEE,Guido Guidotti,100
6,SCHOOL COMMITTEE,John H Portz,125
6,SCHOOL COMMITTEE,Lily R Rayman-Read,95
6,SCHOOL COMMITTEE,Michael K Shepard,77
6,SCHOOL COMMITTEE,Elizabeth K Yusem,123
6,SCHOOL COMMITTEE,Write-in,1
6,COUNCILOR-AT-LARGE,Anthony J Donato,191
6,COUNCILOR-AT-LARGE,David Michael Stokes,102
6,COUNCILOR-AT-LARGE,Michelle Cokonoughi,86
6,COUNCILOR-AT-LARGE,Michael F Dattoli,121
6,COUNCILOR-AT-LARGE,Anthony Palomba,154
6,COUNCILOR-AT-LARGE,Caroline J Bays,181
6,COUNCILOR-AT-LARGE,Write-in,6
6,SCHOOL COMMITTEE 2-YEAR TERM,Lindsay Jean Mosca,212
6,SCHOOL COMMITTEE 2-YEAR TERM,Write-in,2
6,DISTRICT B COUNCILOR,Lisa J Feltner,221
6,DISTRICT B COUNCILOR,Write-in,1
6,LIBRARY TRUSTEES,Leanne Hammonds,166
6,LIBRARY TRUSTEES,Daniel E Pritchard,99
6,LIBRARY TRUSTEES,Michael J Hanlon Jr,145
6,LIBRARY TRUSTEES,David R Breakstone,126
6,LIBRARY TRUSTEES,Write-in,1
7,CITY COUNCIL PRESIDENT,Mark Sideris,413
7,CITY COUNCIL PRESIDENT,Write-in,10
7,SCHOOL COMMITTEE,Amy B Donohue,326
7,SCHOOL COMMITTEE,Guido Guidotti,179
7,SCHOOL COMMITTEE,John H Portz,264
7,SCHOOL COMMITTEE,Lily R Rayman-Read,186
7,SCHOOL COMMITTEE,Michael K Shepard,88
7,SCHOOL COMMITTEE,Elizabeth K Yusem,172
7,SCHOOL COMMITTEE,Write-in,10
7,COUNCILOR-AT-LARGE,Anthony J Donato,355
7,COUNCILOR-AT-LARGE,David Michael Stokes,133
7,COUNCILOR-AT-LARGE,Michelle Cokonoughi,93
7,COUNCILOR-AT-LARGE,Michael F Dattoli,289
7,COUNCILOR-AT-LARGE,Anthony Palomba,322
7,COUNCILOR-AT-LARGE,Caroline J Bays,328
7,COUNCILOR-AT-LARGE,Write-in,12
7,SCHOOL COMMITTEE 2-YEAR TERM,Lindsay Jean Mosca,331
7,SCHOOL COMMITTEE 2-YEAR TERM,Write-in,7
7,DISTRICT C COUNCILOR,V.j. Piccirilli Jr,400
7,DISTRICT C COUNCILOR,Write-in,10
7,LIBRARY TRUSTEES,Leanne Hammonds,308
7,LIBRARY TRUSTEES,Daniel E Pritchard,213
7,LIBRARY TRUSTEES,Michael J Hanlon Jr,218
7,LIBRARY TRUSTEES,David R Breakstone,173
7,LIBRARY TRUSTEES,Write-in,7
8,CITY COUNCIL PRESIDENT,Mark Sideris,430
8,CITY COUNCIL PRESIDENT,Write-in,9
8,SCHOOL COMMITTEE,Amy B Donohue,293
8,SCHOOL COMMITTEE,Guido Guidotti,175
8,SCHOOL COMMITTEE,John H Portz,240
8,SCHOOL COMMITTEE,Lily R Rayman-Read,243
8,SCHOOL COMMITTEE,Michael K Shepard,106
8,SCHOOL COMMITTEE,Elizabeth K Yusem,171
8,SCHOOL COMMITTEE,Write-in,2
8,COUNCILOR-AT-LARGE,Anthony J Donato,328
8,COUNCILOR-AT-LARGE,David Michael Stokes,185
8,COUNCILOR-AT-LARGE,Michelle Cokonoughi,125
8,COUNCILOR-AT-LARGE,Michael F Dattoli,285
8,COUNCILOR-AT-LARGE,Anthony Palomba,306
8,COUNCILOR-AT-LARGE,Caroline J Bays,307
8,COUNCILOR-AT-LARGE,Write-in,3
8,SCHOOL COMMITTEE 2-YEAR TERM,Lindsay Jean Mosca,365
8,SCHOOL COMMITTEE 2-YEAR TERM,Write-in,2
8,DISTRICT C COUNCILOR,V.j. Piccirilli Jr,409
8,DISTRICT C COUNCILOR,Write-in,3
8,LIBRARY TRUSTEES,Leanne Hammonds,313
8,LIBRARY TRUSTEES,Daniel E Pritchard,232
8,LIBRARY TRUSTEES,Michael J Hanlon Jr,215
8,LIBRARY TRUSTEES,David R Breakstone,264
8,LIBRARY TRUSTEES,Write-in,4
9,CITY COUNCIL PRESIDENT,Mark Sideris,217
9,CITY COUNCIL PRESIDENT,Write-in,5
9,SCHOOL COMMITTEE,Amy B Donohue,135
9,SCHOOL COMMITTEE,Guido Guidotti,94
9,SCHOOL COMMITTEE,John H Portz,105
9,SCHOOL COMMITTEE,Lily R Rayman-Read,116
9,SCHOOL COMMITTEE,Michael K Shepard,57
9,SCHOOL COMMITTEE,Elizabeth K Yusem,102
9,SCHOOL COMMITTEE,Write-in,1
9,COUNCILOR-AT-LARGE,Anthony J Donato,159
9,COUNCILOR-AT-LARGE,David Michael Stokes,71
9,COUNCILOR-AT-LARGE,Michelle Cokonoughi,89
9,COUNCILOR-AT-LARGE,Michael F Dattoli,136
9,COUNCILOR-AT-LARGE,Anthony Palomba,149
9,COUNCILOR-AT-LARGE,Caroline J Bays,160
9,COUNCILOR-AT-LARGE,Write-in,0
9,SCHOOL COMMITTEE 2-YEAR TERM,Lindsay Jean Mosca,191
9,SCHOOL COMMITTEE 2-YEAR TERM,Write-in,3
9,DISTRICT C COUNCILOR,V.j. Piccirilli Jr,196
9,DISTRICT C COUNCILOR,Write-in,7
9,LIBRARY TRUSTEES,Leanne Hammonds,158
9,LIBRARY TRUSTEES,Daniel E Pritchard,121
9,LIBRARY TRUSTEES,Michael J Hanlon Jr,132
9,LIBRARY TRUSTEES,David R Breakstone,111
9,LIBRARY TRUSTEES,Write-in,1
10,CITY COUNCIL PRESIDENT,Mark Sideris,388
10,CITY COUNCIL PRESIDENT,Write-in,5
10,SCHOOL COMMITTEE,Amy B Donohue,300
10,SCHOOL COMMITTEE,Guido Guidotti,166
10,SCHOOL COMMITTEE,John H Portz,215
10,SCHOOL COMMITTEE,Lily R Rayman-Read,165
10,SCHOOL COMMITTEE,Michael K Shepard,123
10,SCHOOL COMMITTEE,Elizabeth K Yusem,134
10,SCHOOL COMMITTEE,Write-in,3
10,COUNCILOR-AT-LARGE,Anthony J Donato,403
10,COUNCILOR-AT-LARGE,David Michael Stokes,130
10,COUNCILOR-AT-LARGE,Michelle Cokonoughi,94
10,COUNCILOR-AT-LARGE,Michael F Dattoli,269
10,COUNCILOR-AT-LARGE,Anthony Palomba,242
10,COUNCILOR-AT-LARGE,Caroline J Bays,211
10,COUNCILOR-AT-LARGE,Write-in,1
10,SCHOOL COMMITTEE 2-YEAR TERM,Lindsay Jean Mosca,318
10,SCHOOL COMMITTEE 2-YEAR TERM,Write-in,5
10,DISTRICT D COUNCILOR,Kenneth M Woodland,363
10,DISTRICT D COUNCILOR,Write-in,1
10,LIBRARY TRUSTEES,Leanne Hammonds,236
10,LIBRARY TRUSTEES,Daniel E Pritchard,188
10,LIBRARY TRUSTEES,Michael J Hanlon Jr,231
10,LIBRARY TRUSTEES,David R Breakstone,124
10,LIBRARY TRUSTEES,Write-in,4
11,CITY COUNCIL PRESIDENT,Mark Sideris,248
11,CITY COUNCIL PRESIDENT,Write-in,8
11,SCHOOL COMMITTEE,Amy B Donohue,203
11,SCHOOL COMMITTEE,Guido Guidotti,117
11,SCHOOL COMMITTEE,John H Portz,141
11,SCHOOL COMMITTEE,Lily R Rayman-Read,113
11,SCHOOL COMMITTEE,Michael K Shepard,79
11,SCHOOL COMMITTEE,Elizabeth K Yusem,82
11,SCHOOL COMMITTEE,Write-in,3
11,COUNCILOR-AT-LARGE,Anthony J Donato,255
11,COUNCILOR-AT-LARGE,David Michael Stokes,83
11,COUNCILOR-AT-LARGE,Michelle Cokonoughi,75
11,COUNCILOR-AT-LARGE,Michael F Dattoli,170
11,COUNCILOR-AT-LARGE,Anthony Palomba,162
11,COUNCILOR-AT-LARGE,Caroline J Bays,151
11,COUNCILOR-AT-LARGE,Write-in,5
11,SCHOOL COMMITTEE 2-YEAR TERM,Lindsay Jean Mosca,222
11,SCHOOL COMMITTEE 2-YEAR TERM,Write-in,1
11,DISTRICT D COUNCILOR,Kenneth M Woodland,238
11,DISTRICT D COUNCILOR,Write-in,2
11,LIBRARY TRUSTEES,Leanne Hammonds,188
11,LIBRARY TRUSTEES,Daniel E Pritchard,141
11,LIBRARY TRUSTEES,Michael J Hanlon Jr,145
11,LIBRARY TRUSTEES,David R Breakstone,122
11,LIBRARY TRUSTEES,Write-in,2
12,CITY COUNCIL PRESIDENT,Mark Sideris,234
12,CITY COUNCIL PRESIDENT,Write-in,7
12,SCHOOL COMMITTEE,Amy B Donohue,209
12,SCHOOL COMMITTEE,Guido Guidotti,93
12,SCHOOL COMMITTEE,John H Portz,124
12,SCHOOL COMMITTEE,Lily R Rayman-Read,84
12,SCHOOL COMMITTEE,Michael K Shepard,68
12,SCHOOL COMMITTEE,Elizabeth K Yusem,105
12,SCHOOL COMMITTEE,Write-in,3
12,COUNCILOR-AT-LARGE,Anthony J Donato,260
12,COUNCILOR-AT-LARGE,David Michael Stokes,65
12,COUNCILOR-AT-LARGE,Michelle Cokonoughi,66
12,COUNCILOR-AT-LARGE,Michael F Dattoli,161
12,COUNCILOR-AT-LARGE,Anthony Palomba,149
12,COUNCILOR-AT-LARGE,Caroline J Bays,150
12,COUNCILOR-AT-LARGE,Write-in,0
12,SCHOOL COMMITTEE 2-YEAR TERM,Lindsay Jean Mosca,202
12,SCHOOL COMMITTEE 2-YEAR TERM,Write-in,3
12,DISTRICT D COUNCILOR,Kenneth M Woodland,234
12,DISTRICT D COUNCILOR,Write-in,3
12,LIBRARY TRUSTEES,Leanne Hammonds,182
12,LIBRARY TRUSTEES,Daniel E Pritchard,109
12,LIBRARY TRUSTEES,Michael J Hanlon Jr,132
12,LIBRARY TRUSTEES,David R Breakstone,88
12,LIBRARY TRUSTEES,Write-in,2
